100000 13600000 13	104	1220	19178	382991	9347212	2.7e+08	9.4e+09	1.4e+13	2.1e+18	2.9e+23	1.2e+30	Inf
100000 13725214 13	104	1220	19178	382991	9347212	2.7e+08	9.4e+09	1.4e+13	2.1e+18	2.9e+23	1.2e+30	Inf
100000 13800000 13	104	1220	19178	382991	9347212	2.7e+08	9.4e+09	1.4e+13	2.1e+18	2.9e+23	1.2e+30	Inf
100000 14200000 13	104	1220	19178	382991	9347212	2.7e+08	9.4e+09	1.4e+13	2.1e+18	2.9e+23	1.2e+30	Inf
100000 14413889 13	104	1220	19178	382991	9347212	2.7e+08	9.4e+09	1.4e+13	2.1e+18	2.9e+23	1.2e+30	Inf
150000 20550000 11	76	774	10491	181394	3771723	9.2e+07	2.7e+09	9.2e+10	2.2e+16	3e+21	4e+26	Inf
199900 19990000 9	55	510	6215	96060	1783902	3.9e+07	1e+09	2.7e+10	2.8e+14	4e+19	5.3e+24	Inf
200000 20000000 9	55	510	6214	96047	1783619	3.9e+07	1e+09	2.7e+10	2.7e+14	4e+19	5.2e+24	Inf
235000 23500000 8	51	451	5235	76956	1355702	2.8e+07	6.5e+08	1.8e+10	5.1e+13	7.6e+18	1e+24	Inf
250000 124922710 8	50	430	4911	70940	1226976	2.5e+07	5.8e+08	1.6e+10	2.7e+13	4e+18	5.4e+23	Inf
250000 129632592 8	50	430	4911	70940	1226976	2.5e+07	5.8e+08	1.6e+10	2.7e+13	4e+18	5.4e+23	Inf
250000 145000000 8	50	430	4911	70940	1226976	2.5e+07	5.8e+08	1.6e+10	2.7e+13	4e+18	5.4e+23	Inf
250000 183032866 8	50	430	4911	70940	1226976	2.5e+07	5.8e+08	1.6e+10	2.7e+13	4e+18	5.4e+23	Inf
250000 25000000 8	50	430	4911	70940	1226976	2.5e+07	5.8e+08	1.6e+10	2.7e+13	4e+18	5.4e+23	Inf
250000 30000000 8	50	430	4911	70940	1226976	2.5e+07	5.8e+08	1.6e+10	2.7e+13	4e+18	5.4e+23	Inf
250000 30050537 8	50	430	4911	70940	1226976	2.5e+07	5.8e+08	1.6e+10	2.7e+13	4e+18	5.4e+23	Inf
250000 30419426 8	50	430	4911	70940	1226976	2.5e+07	5.8e+08	1.6e+10	2.7e+13	4e+18	5.4e+23	Inf
250000 32616915 8	50	430	4911	70940	1226976	2.5e+07	5.8e+08	1.6e+10	2.7e+13	4e+18	5.4e+23	Inf
250000 35880562 8	50	430	4911	70940	1226976	2.5e+07	5.8e+08	1.6e+10	2.7e+13	4e+18	5.4e+23	Inf
250000 36500000 8	50	430	4911	70940	1226976	2.5e+07	5.8e+08	1.6e+10	2.7e+13	4e+18	5.4e+23	Inf
250000 37170685 8	50	430	4911	70940	1226976	2.5e+07	5.8e+08	1.6e+10	2.7e+13	4e+18	5.4e+23	Inf
250000 37569102 8	50	430	4911	70940	1226976	2.5e+07	5.8e+08	1.6e+10	2.7e+13	4e+18	5.4e+23	Inf
250000 38060828 8	50	430	4911	70940	1226976	2.5e+07	5.8e+08	1.6e+10	2.7e+13	4e+18	5.4e+23	Inf
250000 38075084 8	50	430	4911	70940	1226976	2.5e+07	5.8e+08	1.6e+10	2.7e+13	4e+18	5.4e+23	Inf
250000 38104631 8	50	430	4911	70940	1226976	2.5e+07	5.8e+08	1.6e+10	2.7e+13	4e+18	5.4e+23	Inf
250000 38123960 8	50	430	4911	70940	1226976	2.5e+07	5.8e+08	1.6e+10	2.7e+13	4e+18	5.4e+23	Inf
250000 38141102 8	50	430	4911	70940	1226976	2.5e+07	5.8e+08	1.6e+10	2.7e+13	4e+18	5.4e+23	Inf
250000 38172094 8	50	430	4911	70940	1226976	2.5e+07	5.8e+08	1.6e+10	2.7e+13	4e+18	5.4e+23	Inf
250000 38253153 8	50	430	4911	70940	1226976	2.5e+07	5.8e+08	1.6e+10	2.7e+13	4e+18	5.4e+23	Inf
250000 38299066 8	50	430	4911	70940	1226976	2.5e+07	5.8e+08	1.6e+10	2.7e+13	4e+18	5.4e+23	Inf
250000 38317896 8	50	430	4911	70940	1226976	2.5e+07	5.8e+08	1.6e+10	2.7e+13	4e+18	5.4e+23	Inf
250000 38357144 8	50	430	4911	70940	1226976	2.5e+07	5.8e+08	1.6e+10	2.7e+13	4e+18	5.4e+23	Inf
250000 38500000 8	50	430	4911	70940	1226976	2.5e+07	5.8e+08	1.6e+10	2.7e+13	4e+18	5.4e+23	Inf
250000 38750000 8	50	430	4911	70940	1226976	2.5e+07	5.8e+08	1.6e+10	2.7e+13	4e+18	5.4e+23	Inf
250000 50000000 8	50	430	4911	70940	1226976	2.5e+07	5.8e+08	1.6e+10	2.7e+13	4e+18	5.4e+23	Inf
445657 50000000 6	32	238	2273	27186	386763	6501919	1.3e+08	2.8e+09	6.6e+10	3.9e+15	5.5e+20	7.1e+25
500000 50000000 6	31	222	2051	23765	330198	5310523	1e+08	2.1e+09	4.5e+10	1.2e+15	1.7e+20	2.2e+25
500000 500000 6	31	222	2051	23765	330198	5310523	1e+08	2.1e+09	4.5e+10	1.2e+15	1.7e+20	2.2e+25
1000000 100000000 5	20	118	910	8615	97096	1281819	1.9e+07	3.1e+08	6.2e+09	1.7e+11	2.3e+16	3.1e+21
1000000 10000000 5	20	118	910	8615	97096	1281819	1.9e+07	3.1e+08	6.2e+09	1.7e+11	2.3e+16	3.1e+21
1000000 1000000 5	20	118	910	8615	97096	1281819	1.9e+07	3.1e+08	6.2e+09	1.7e+11	2.3e+16	3.1e+21
1000000 974637522 5	20	118	910	8615	97096	1281819	1.9e+07	3.1e+08	6.2e+09	1.7e+11	2.3e+16	3.1e+21
2100100 200100100 4	14	70	452	3593	33518	364001	4448618	6.1e+07	8.7e+08	1.6e+10	4.1e+12	5.8e+17
2500000 250000000 4	13	63	391	2972	26692	276503	3272835	4.3e+07	6.3e+08	1e+10	3.7e+11	7.8e+16
3000000 1000000000 3	11	54	324	2351	20272	201449	2247436	2.8e+07	3.9e+08	6e+09	1.1e+11	7.4e+15
3000000 100000000 3	11	54	324	2351	20272	201449	2247436	2.8e+07	3.9e+08	6e+09	1.1e+11	7.4e+15
3000000 3000000000 3	11	54	324	2351	20272	201449	2247436	2.8e+07	3.9e+08	6e+09	1.1e+11	7.4e+15
3000000 300000000 3	11	54	324	2351	20272	201449	2247436	2.8e+07	3.9e+08	6e+09	1.1e+11	7.4e+15
3000000 3000000 3	11	54	324	2351	20272	201449	2247436	2.8e+07	3.9e+08	6e+09	1.1e+11	7.4e+15
3000000 4592487916 3	11	54	324	2351	20272	201449	2247436	2.8e+07	3.9e+08	6e+09	1.1e+11	7.4e+15
3000000 528000000 3	11	54	324	2351	20272	201449	2247436	2.8e+07	3.9e+08	6e+09	1.1e+11	7.4e+15
4000000 400000000 3	10	45	256	1755	14170	131563	1379846	1.6e+07	2.1e+08	3e+09	4.2e+10	2.5e+14
6000000 600000000 3	9	36	186	1170	8664	73566	704069	7493024	8.7e+07	1.1e+09	1.5e+10	1.7e+12
10000000 1000000000 2	7	27	127	726	4827	36882	316724	3016843	3.1e+07	3.6e+08	4.5e+09	5.7e+10
10000000 100000000 2	7	27	127	726	4827	36882	316724	3016843	3.1e+07	3.6e+08	4.5e+09	5.7e+10
10000000 250000000 2	7	27	127	726	4827	36882	316724	3016843	3.1e+07	3.6e+08	4.5e+09	5.7e+10
10100100 900100100 2	7	27	126	720	4812	36491	313008	2976869	3.1e+07	3.5e+08	4.4e+09	5.6e+10
11000000 100000000000 2	7	26	122	686	4482	33676	284176	2657998	2.7e+07	3e+08	3.7e+09	4.4e+10
11000000 1100000000 2	7	26	122	686	4482	33676	284176	2657998	2.7e+07	3e+08	3.7e+09	4.4e+10
11000000 110000000 2	7	26	122	686	4482	33676	284176	2657998	2.7e+07	3e+08	3.7e+09	4.4e+10
11000000 11000000 2	7	26	122	686	4482	33676	284176	2657998	2.7e+07	3e+08	3.7e+09	4.4e+10
11000000 2500000000 2	7	26	122	686	4482	33676	284176	2657998	2.7e+07	3e+08	3.7e+09	4.4e+10
11000000 30114149530 2	7	26	122	686	4482	33676	284176	2657998	2.7e+07	3e+08	3.7e+09	4.4e+10
11000000 310000000 2	7	26	122	686	4482	33676	284176	2657998	2.7e+07	3e+08	3.7e+09	4.4e+10
11000000 36578884662 2	7	26	122	686	4482	33676	284176	2657998	2.7e+07	3e+08	3.7e+09	4.4e+10
23000000 23000000 2	6	19	78	386	2226	14607	106459	862645	7643809	7.3e+07	7.7e+08	8.6e+09
23000000 81050459506 2	6	19	78	386	2226	14607	106459	862645	7643809	7.3e+07	7.7e+08	8.6e+09
23359695 2335969500 2	6	19	77	382	2203	14339	105066	850096	7516076	7.2e+07	6.9e+08	8.3e+09
25000000 2500000000 2	5	18	75	369	2098	13567	98072	782430	6815759	6.4e+07	6.7e+08	7.3e+09
30000000 3000000000 2	5	17	66	316	1739	10946	76471	589133	4954342	4.5e+07	4.4e+08	4.8e+09
41000000 4100000000 2	5	15	57	261	1371	8157	54108	395251	3148738	2.7e+07	2.6e+08	2.6e+09
42000000 4200000000 2	5	15	57	257	1346	7993	52905	385579	3063831	2.6e+07	2.4e+08	2.5e+09
43000000 198654756318 2	5	14	55	246	1286	7557	49831	361851	2844041	2.4e+07	2.2e+08	2.2e+09
43000000 4300000000 2	5	14	55	246	1286	7557	49831	361851	2844041	2.4e+07	2.2e+08	2.2e+09
44000000 100000000000 2	5	14	54	244	1263	7458	48746	353227	2771147	2.4e+07	2.1e+08	2.1e+09
44000000 223505479902 2	5	14	54	244	1263	7458	48746	353227	2771147	2.4e+07	2.1e+08	2.1e+09
44000000 251421670516 2	5	14	54	244	1263	7458	48746	353227	2771147	2.4e+07	2.1e+08	2.1e+09
44000000 4400000000 2	5	14	54	244	1263	7458	48746	353227	2771147	2.4e+07	2.1e+08	2.1e+09
44000000 44000000 2	5	14	54	244	1263	7458	48746	353227	2771147	2.4e+07	2.1e+08	2.1e+09
48000000 251426235076 2	5	14	53	233	1201	6993	45044	321493	2482301	2.1e+07	1.9e+08	1.8e+09
48000000 279380917212 2	5	14	53	233	1201	6993	45044	321493	2482301	2.1e+07	1.9e+08	1.8e+09
48000000 297984687018 2	5	14	53	233	1201	6993	45044	321493	2482301	2.1e+07	1.9e+08	1.8e+09
48000000 298483725556 2	5	14	53	233	1201	6993	45044	321493	2482301	2.1e+07	1.9e+08	1.8e+09
107000000 10700000000 2	4	10	35	137	624	3197	18279	114063	773211	5683408	4.5e+07	3.8e+08
109000000 10900000000 2	4	10	34	136	618	3161	17948	112428	760974	5551920	4.3e+07	3.5e+08
110000000 1000000000000 2	4	10	34	135	614	3135	17884	111314	752662	5482978	4.3e+07	3.6e+08
110000000 100000000000 2	4	10	34	135	614	3135	17884	111314	752662	5482978	4.3e+07	3.6e+08
110000000 110000000000 2	4	10	34	135	614	3135	17884	111314	752662	5482978	4.3e+07	3.6e+08
